REQUEST,Goods,oracle code,,ITEM DESCRIPTION,ITEM CATEGORY,QTY,price,JOB NO,total-amount,STATUE,ORDER,,
REQ2500006921,Goods, 10002271,,"GAS R22, PACKING: 13.6KGS (30LBS), DISPOSABLE CYLINDER, BRAND: FLORON, ORIGIN: INDIA",GAS,15,199,4378M,2985,Approved,733262,,
REQ2500006921,Goods, 10013884,,"SILICON SEALANT ANTI-FUNGAL 320ML, WHITE, PACKING: 24PCS / CTN, MAKE: DOLPHIN, ORIGIN: UAE",MATERIALS LOCAL,10,4.75,4378M,47.5,Approved,733262,,
REQ2500006921,Goods, 10001680,,"PAINT BRUSH 2"", WHITE BRISTLESS, MODEL NO. PB2WC, MAKE: CLARKE",MATERIALS LOCAL,10,2.4,4378M,24,Approved,733262,,
REQ2500006921,Goods, 10000487,,"BATTERY AAA, PACKING: 20 CARD / BOX, 2PCS / CARD, BRAND: ENERGIZER",BATTERY,10,4.242424242,4378M,42.42424242,Approved,733262,,
REQ2500006921,Goods, 10002287,,"SPRAY WD40, PACKING: 330ML, BRAND: WD40, ORIGIN: UK",MATERIALS LOCAL,10,11,4378M,110,Approved,733262,,
REQ2500006921,Goods, 10033190,,"TERMINAL CONNECTOR 16MM, PVC WHITE, PACKING: 10 STRIP / PKT; 10PCS / STRIP, MAKE: KEDBROOKE, ORIGIN: INDIA ",ELECTRICAL MATERIAL,5,36.85,4378M,184.25,Approved,733262,,
REQ2500006921,Goods, 10002712,,"CAPACITOR 60MFD, ROUND MEATAL BODY, MAKE: SYSCAP, ORIGIN: INDIA",ELECTRICAL MATERIAL,50,10.55,4378M,527.5,Approved,733262,,
REQ2500006921,Goods, 10002467,,"CONTACTOR 30A/3P/240V, MAKE: FURNAS",ELECTRICAL MATERIAL,10,15.0296471,4378M,150.296471,Approved,733262,,
REQ2500006921,Goods, 10000112,,"CONTACTOR 11KW 400V 25A (AC3), 40A (AC1), 3P 24V AC COIL, 1NO+1NC 50/60 HZ, PART NO. LC1D25B7, MAKE: SCHNIEDER ELECTRIC, ORIGIN: FRANCE",ELECTRICAL MATERIAL,9,92.66533888,4378M,833.9880499,Approved,733262,,
REQ2500006921,Goods, 10001660,,"M-SEAL GLUE 100 GRAM, MAKE: PIDLITE, ORIGIN: INDIA",CIVIL MATERIAL,2,2.403572835,4378M,4.80714567,Approved,733262,,
REQ2500006921,Goods, 10025305,,"BLACK TAPE 2"" X 60Ft, PVC, PACKING: 60 ROLL / BOX, PRODUCT CODE: IFT-0009, MAKE: INNERFIX",CIVIL MATERIAL,20,1.7,4378M,34,Approved,733262,,
REQ2500006921,Goods, 10013883,,"ALUMINIUM PLAIN TAPE 2"" X 30 YARDS / ROLL, PACKING: 24 PCS/CTN, MAKE: HI-STICK, ORIGIN: UAE",MATERIALS LOCAL,15,2.62,4378M,39.3,Approved,733262,,
REQ2500006921,Goods, 10002464,,"CAPACITOR 3.5 MFD SQUARE BLACK, PLASTIC, ORIGIN: INDIA",ELECTRICAL MATERIAL,15,3,4378M,45,Approved,733262,,
REQ2500006921,Goods, 10001769,,"TEFLON TAPE 1/2"" X 10YARD, ORIGIN: PRC",MATERIALS LOCAL,20,0.204203784,4378M,4.08407568,Approved,733262,,
REQ2500006921,Goods, 10001737,,"FOAM SPRAY 500ML, PACKING: 12PC / CTN, MAKE: ASMACO",CIVIL MATERIAL,10,6.75,4378M,67.5,Approved,733262,,
REQ2500006921,Goods, 10001761,,"DOTTED GLOVES 14 OZ - SINGLE SIDE DOTTED, MATERIAL: POLYSTER, COTTON & PVC DOTS, MODEL NO. 757, PART NO. 81GLOV-SSD, MAKE: RIGMAN",OTHER EXPENSES,50,0.95,4378M,47.5,Approved,733262,,
REQ2500006921,Goods, 10002701,,"GAS CHARGING VALVE 1/4"" X .35MM X 10CM, ORIGIN: INDIA",MECHANICAL MATERIAL,100,1.2,4378M,120,Approved,733262,,
REQ2500006921,Goods, 10000148,,"THERMOMETER DIGITAL, (POCKET TYPE), MODEL: TPT9282A, MAKE: TERMINATOR, ORIGIN: PRC",ELECTRICAL MATERIAL,10,54.83018868,4378M,548.3018868,Approved,733262,,
REQ2500007020,Goods, 10000007,,"LINE TESTER, YELLOW, MAKE: TAPARIA, ORIGIN: INDIA",ELECTRICAL MATERIAL,10,3.75,4378M,37.5,Approved,737277,,
REQ2500007261,Goods, 10006781,,"BRAZING SET PORTABLE COMPLETE WITH TROLLEY 504, WELDING OUTLET KL550-5, ACETYLENE & OXYGEN CYLINDER 40CU. FT., MODEL: KL-550, MAKE: UNIWELD, ORIGIN: USA",MECHANICAL MATERIAL,4,1950,4378M,7800,Approved,PO2500003921,,
REQ2500007271,Goods, 10041537,,"RELAY 14PIN 240VAC, WITH BASE, PART NO. RXM4AB1U7, MAKE: SCHNEIDER",ELECTRICAL MATERIAL,10,17,4378M,170,Approved,PO2500003995,,
REQ2500007271,Goods, 10018263,,"RELAY 24V 14PIN WITH BASE, PART NO. RXZE2M114M, MAKE: SCHNEIDER",ELECTRICAL MATERIAL,10,9,4378M,90,Approved,PO2500003995,,
REQ2500007271,Goods, 10000544,,"GLASS FUSE 4A, SIZE: 5 X 20",ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007271,Goods, 10026790,,"GLASS FUSE 2,5A, PART NO. MI5SF25V2, MAKE: MERSEN, ORIGIN: CHINA",ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007252,Goods, 10002830,,"GAS ADAPTOR R410A, ORIGIN: THAILAND",MECHANICAL MATERIAL,5,5.890243902,4378M,29.45121951,Approved,739265,,
REQ2500007271,Goods, 10000826,,GLASS FUSE 5A,ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007271,Goods, 10000827,,GLASS FUSE 6A,ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007271,Goods, 10000829,,GLASS FUSE 8A,ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007271,Goods, 10000547,,"GLASS FUSE 7A, SIZE: 5 X 20",ELECTRICAL MATERIAL,10,1,4378M,10,Approved,PO2500003995,,
REQ2500007271,Goods, 10010707,,"LADDER 6 STEPS ALUMINIUM, A TYPE HEAVY DUTY, 150KG CAPACITY, MAKE: TOPMAN, ORIGIN: UAE",CIVIL MATERIAL,5,145,4378M,725,Approved,PO2500003996,,
REQ2500007271,Goods, 10002874,,"MANIFOLD GAUGE SET BRASS 2-VALVE 3SOFT HOSES R-12 / R22/ R134 / R404, MODEL NO. QAL3SM-5, BRAND: UNIWELD, ORIGIN: USA",MECHANICAL MATERIAL,10,135,4378M,1350,Approved,PO2500003998,,
REQ2500007271,Goods, 10018978,,"MAP PRO GAS, YELLOW CYLINDER, 400G, MAKE: BLUE FIRE, ORIGIN: UAE",MATERIALS LOCAL,10,13,4378M,130,Approved,PO2500003998,,
REQ2500007481,Goods, 10018896,,"CABLE 4C X 25SQMM, XLPE/SWA/PVC, MAKE: MESC",CABLES,34,81.61,4378M,2774.74,Approved,PO2500004017,,
REQ2500007481,Goods, 10018892,,"CABLE 3C X 16SQMM, XLPE/SWA/PVC, MAKE: MESC",CABLES,32,25.83,4378M,826.56,Approved,PO2500004017,,
REQ2500007481,Goods, 10031619,,"CABLE LUG 25MM, PIN TYPE, ORIGIN: INDIA",ELECTRICAL MATERIAL,30,3,4378M,90,Approved,PO2500004017,,
REQ2500007481,Goods, 10031620,,"CABLE LUG 16MM, PIN TYPE, ORIGIN: INDIA",ELECTRICAL MATERIAL,40,1.53,4378M,61.2,Approved,PO2500004017,,
REQ2500007481,Goods, 10020623,,"TRUNKING 50 X 50MM, PVC, MAKE: BGL",ELECTRICAL MATERIAL,2,12.53,4378M,25.06,Approved,PO2500004017,,
REQ2500007481,Goods, 10009135,,"CABLE GLAND BW25 LSF, BRASS, PART NO. BW25LSF,MAKE: BICC",ELECTRICAL MATERIAL,5,7.53,4378M,37.65,Approved,PO2500004017,,
REQ2500007481,Goods, 10029973,,"CABLE GLAND BW 32, BRASS, PART NO. BW32, MAKE: BICC",ELECTRICAL MATERIAL,5,10.53,4378M,52.65,Approved,PO2500004017,,
REQ2500007105,Goods, 10014253,,"COMPRESSOR ROTARY 2TON LRA 75, 1P 3LEGS, 220-240V, MODEL NO. QP407, MAKE: LG, ORIGIN: KOREA",COMPRESSORS AND MOTORS,1,420,4378M,420,Approved,PO2500004117,,
REQ2500007105,Goods, 10045639,,"GAS R32, CAPACITY: 10KG, MAKE: FLORON, ORIGIN: INDIA",GAS,5,285,4378M,1425,Approved,PO2500004117,,
REQ2500007221,Goods, 10015330,,"COOKER (STOVE) TABLE TYPE WITH 3 BURNER, MODEL NO. RV-310, MAKE: RINNAI",CIVIL MATERIAL,4,225,4378M,900,Approved,PO2500004281,,
REQ2500007221,Goods, 10006786,,"WASHING MACHINE SEMI AUTOMATIC TWIN TUB 12 KGS., MODEL: WTX-1217, MAKE: WESTPOINT",ELECTRICAL EQUIPMENT,1,550,4378M,550,Approved,PO2500004281,,
REQ2500007221,Goods, 10015329,,"REFRIGERATOR 200LTR, DOUBLE DOOR, MODEL NO. WRN-2417, MAKE: WESTPOINT",ELECTRICAL EQUIPMENT,1,820,4378M,820,Approved,PO2500004281,,
REQ2500007904,Goods, 10002386,,"COPPER PIPE 5/8"" X 50' X 0.028"" THICK, MAKE: MAKSAL, ORIGIN: SA",MECHANICAL MATERIAL,3,227,4378M,681,Approved,PO2500004358,,
REQ2500007872,Goods, 10002414,,"RUBBER PIPE INSULATION 5/8"" DIA X 3/8"" THICK X1.8MTR / LTH, PACKING: 90TUBES / BOX, MAKE: WORLD FLEX BY GULF-O-FLEX, ORIGIN: UAE",MATERIALS LOCAL,1,1.27,4378M,1.27,Approved,755267,,
REQ2500007872,Goods, 10001783,,"U-CLAMP 2 1/2"" X 8MM WITH 4 NUT & 4 WASHER, G.I, ORIGIN: CHINA",MATERIALS LOCAL,20,0.9,4378M,18,Approved,755267,,
REQ2500007872,Goods, 10001666,,"CONCRETE DRILL BIT 8MM X 160MM DIA, PART NO. D00527, MAKE: MAKITA, ORIGIN: JAPAN",MATERIALS LOCAL,2,3.57,4378M,7.14,Approved,755267,,
REQ2500007872,Goods, 10001761,,"DOTTED GLOVES 14 OZ - SINGLE SIDE DOTTED, MATERIAL: POLYSTER, COTTON & PVC DOTS, MODEL NO. 757, PART NO. 81GLOV-SSD, MAKE: RIGMAN",OTHER EXPENSES,10,0.95,4378M,9.5,Approved,755267,,
REQ2500007872,Goods, 10013884,,"SILICON SEALANT ANTI-FUNGAL 320ML, WHITE, PACKING: 24PCS / CTN, MAKE: DOLPHIN, ORIGIN: UAE",MATERIALS LOCAL,5,4.75,4378M,23.75,Approved,755267,,
REQ2500007886,Goods, 10025305,,"BLACK TAPE 2"" X 60Ft, PVC, PACKING: 60 ROLL / BOX, PRODUCT CODE: IFT-0009, MAKE: INNERFIX",CIVIL MATERIAL,40,1.7,4378M,68,Approved,758273,,
REQ2500007886,Goods, 10001666,,"CONCRETE DRILL BIT 8MM X 160MM DIA, PART NO. D00527, MAKE: MAKITA, ORIGIN: JAPAN",MATERIALS LOCAL,2,3.57,4378M,7.14,Approved,758273,,
REQ2500007904,Goods, 10002414,,"RUBBER PIPE INSULATION 5/8"" DIA X 3/8"" THICK X1.8MTR / LTH, PACKING: 90TUBES / BOX, MAKE: WORLD FLEX BY GULF-O-FLEX, ORIGIN: UAE",MATERIALS LOCAL,19,1.27,4378M,24.13,Approved,PO2500004358,,
REQ2500007904,Goods, 10002444,,"RUBBER PIPE INSULATION 3/8"" DIA X 3/8"" THICK X1.8MTR / LTH, PACKING: 130TUBES / BOX, MAKE: WORLDFLEX BY GULFOFLEX, ORIGIN: UAE",MECHANICAL MATERIAL,20,1,4378M,20,Approved,PO2500004358,,
REQ2500007904,Goods, 10002373,,"CANVAS CLOTH 6 OZ, 36"" X 20 YARD / ROLL, MAKE: TAKA, ORIGIN: PAKISTAN",CIVIL MATERIAL,2,12.00796813,4378M,24.01593626,Approved,PO2500004358,,
REQ2500007904,Goods, 10002851,,"CANVAS COATING GEE FIX 30/36 (EQUIVALENT TO FOSTER 30/36), PACKING: 20KG / DRUM, ORIGIN: UAE",MATERIALS LOCAL,1,33.5,4378M,33.5,Approved,PO2500004358,,
REQ2500008181,Goods, 10001900,,"BUNK BED DOUBLE 190 X 90CM, METAL TYPE, HEAVY DUTY, HORIZONTAL THICK TUBE, GREY, WEIGHT: 35KG, MAKE: LOCAL, ORIGIN: UAE",LABOUR ACCOMMODATION EXPS,3,324.9466979,4378M,974.8400937,Approved,PO2500004393,,
REQ2500007904,Goods, 10008887,,"COPPER PIPE 3/8"" X 50' X 0.061MM THK, MAKE: MAKSAL, ORIGIN: SOUTH AFRICA",MECHANICAL MATERIAL,3,130,4378M,390,Approved,PO2500004446,,
REQ2500007904,Goods, 10001737,,"FOAM SPRAY 500ML, PACKING: 12PC / CTN, MAKE: ASMACO",CIVIL MATERIAL,10,6.75,4378M,67.5,Approved,PO2500004446,,
REQ2500007904,Goods, 10000142,,"CABLE 4C X 2.5SQMM, PVC FLEXIBLE, DUFLEX 70 DEGREE, WHITE, MAKE: DUCAB, ORIGIN: UAE",CABLES,1,416.5185185,4378M,416.5185185,Approved,PO2500004446,,
REQ2500007904,Goods, 10002061,,"GYPSUM SCREW 1"" X 6MM, PACKING: 800 NOS/PKT, ORIGIN: CHINA",MATERIALS LOCAL,1,12,4378M,12,Approved,PO2500004461,,
REQ2500007904,Goods, 10022935,,"GYPSUM SCREW 1.5"" X 6MM, PACKING: 1000NOS/BOX, ORIGIN: CHINA",MATERIALS LOCAL,1,9,4378M,9,Approved,PO2500004461,,
REQ2500007904,Goods, 10045379,,"HOLESAW CUTTER 2” X 30MM, SS, MAKE: KMANN",MATERIALS LOCAL,2,34,4378M,68,Approved,PO2500004461,,
REQ2500007940,Goods, 10000254,,"DIGITAL CLAMP METER 1000A WITH TEST CERTIFICATE, MODEL NO. 3280-10, MAKE: HIOKI, ORIGIN: JAPAN",ELECTRICAL MATERIAL,10,173.1153846,4378M,1731.153846,Approved,758277,,
REQ2500007940,Goods, 10000112,,"CONTACTOR 11KW 400V 25A (AC3), 40A (AC1), 3P 24V AC COIL, 1NO+1NC 50/60 HZ, PART NO. LC1D25B7, MAKE: SCHNIEDER ELECTRIC, ORIGIN: FRANCE",ELECTRICAL MATERIAL,1,92.66533888,4378M,92.66533888,Approved,758277,,
REQ2500007940,Goods, 10000007,,"LINE TESTER, YELLOW, MAKE: TAPARIA, ORIGIN: INDIA",ELECTRICAL MATERIAL,10,3.75,4378M,37.5,Approved,758277,,
REQ2500008178,Goods, 10001900,,"BUNK BED DOUBLE 190 X 90CM, METAL TYPE, HEAVY DUTY, HORIZONTAL THICK TUBE, GREY, WEIGHT: 35KG, MAKE: LOCAL, ORIGIN: UAE",LABOUR ACCOMMODATION EXPS,19,324.9466979,4378M,6173.98726,Approved,766267,,
REQ2500007271,Goods, 10014763,,"MAP GAS HAND TORCH WITH HOSE, MAKE: ECOFROST",MECHANICAL MATERIAL,4,65,4378M,260,Approved,PO2500004468,,
REQ2500008621,Goods, 10048700,,"HUMVAC VACUUM PUMP 6CFM 220V/240, 50/60HZ, MAKE: UNIWELD",MECHANICAL MATERIAL,4,875,4378M,3500,Approved,PO2500004636,,
REQ2500008621,Goods, 10009123,,"PRESSURE PUMP HD9 / 80L, 240V / 50Hz, MAKE: KRANZLE, ORIGIN: GERMANY",MECHANICAL EQUIPMENT,5,2270,4378M,11350,Approved,PO2500004637,,
